업체명,업종,주소,전화번호,평점,리뷰수,연락상태,나우링크URL,네이버플레이스URL,수집일시
"뚜레쥬르 본점",카페,"서울특별시 중구 동호로 330 씨제이제일제당센터",,,,pending,https://www.nowlink.kr/store/cafe-서울-1,http://www.tlj.co.kr/,2026-04-27T01:58:25.986Z
"ETF베이커리 성수",카페,"서울특별시 성동구 성수이로16길 32 주3 1, 2층",,,,pending,https://www.nowlink.kr/store/cafe-서울-2,https://www.instagram.com/etf.bakery_official/,2026-04-27T01:58:25.987Z
"쏘쏘사라다 잠실새내역점",카페,"서울특별시 송파구 백제고분로7길 56 1층",,,,pending,https://www.nowlink.kr/store/cafe-서울-3,https://map.naver.com/v5/search/%EC%8F%98%EC%8F%98%EC%82%AC%EB%9D%BC%EB%8B%A4%20%EC%9E%A0%EC%8B%A4%EC%83%88%EB%82%B4%EC%97%AD%EC%A0%90,2026-04-27T01:58:25.987Z
"핫코베이커리",카페,"서울특별시 강남구 봉은사로44길 25 1층 핫코 베이커리",,,,pending,https://www.nowlink.kr/store/cafe-서울-4,https://www.instagram.com/hakko_bakery,2026-04-27T01:58:25.987Z
"만월다방 시네마",카페,"서울특별시 마포구 와우산로 76 2층",,,,pending,https://www.nowlink.kr/store/cafe-서울-5,https://www.instagram.com/manwol_dabang_cinema,2026-04-27T01:58:25.987Z
"뚜레쥬르 본점",카페,"서울특별시 중구 동호로 330 씨제이제일제당센터",,,,pending,https://www.nowlink.kr/store/cafe-서울-6,http://www.tlj.co.kr/,2026-04-27T01:58:25.987Z
"ETF베이커리 성수",카페,"서울특별시 성동구 성수이로16길 32 주3 1, 2층",,,,pending,https://www.nowlink.kr/store/cafe-서울-7,https://www.instagram.com/etf.bakery_official/,2026-04-27T01:58:25.987Z
"쏘쏘사라다 잠실새내역점",카페,"서울특별시 송파구 백제고분로7길 56 1층",,,,pending,https://www.nowlink.kr/store/cafe-서울-8,https://map.naver.com/v5/search/%EC%8F%98%EC%8F%98%EC%82%AC%EB%9D%BC%EB%8B%A4%20%EC%9E%A0%EC%8B%A4%EC%83%88%EB%82%B4%EC%97%AD%EC%A0%90,2026-04-27T01:58:25.987Z
"핫코베이커리",카페,"서울특별시 강남구 봉은사로44길 25 1층 핫코 베이커리",,,,pending,https://www.nowlink.kr/store/cafe-서울-9,https://www.instagram.com/hakko_bakery,2026-04-27T01:58:25.987Z
"만월다방 시네마",카페,"서울특별시 마포구 와우산로 76 2층",,,,pending,https://www.nowlink.kr/store/cafe-서울-10,https://www.instagram.com/manwol_dabang_cinema,2026-04-27T01:58:25.987Z
"뚜레쥬르 본점",카페,"서울특별시 중구 동호로 330 씨제이제일제당센터",,,,pending,https://www.nowlink.kr/store/cafe-서울-11,http://www.tlj.co.kr/,2026-04-27T01:58:25.988Z
"ETF베이커리 성수",카페,"서울특별시 성동구 성수이로16길 32 주3 1, 2층",,,,pending,https://www.nowlink.kr/store/cafe-서울-12,https://www.instagram.com/etf.bakery_official/,2026-04-27T01:58:25.988Z
"쏘쏘사라다 잠실새내역점",카페,"서울특별시 송파구 백제고분로7길 56 1층",,,,pending,https://www.nowlink.kr/store/cafe-서울-13,https://map.naver.com/v5/search/%EC%8F%98%EC%8F%98%EC%82%AC%EB%9D%BC%EB%8B%A4%20%EC%9E%A0%EC%8B%A4%EC%83%88%EB%82%B4%EC%97%AD%EC%A0%90,2026-04-27T01:58:25.988Z
"핫코베이커리",카페,"서울특별시 강남구 봉은사로44길 25 1층 핫코 베이커리",,,,pending,https://www.nowlink.kr/store/cafe-서울-14,https://www.instagram.com/hakko_bakery,2026-04-27T01:58:25.988Z
"만월다방 시네마",카페,"서울특별시 마포구 와우산로 76 2층",,,,pending,https://www.nowlink.kr/store/cafe-서울-15,https://www.instagram.com/manwol_dabang_cinema,2026-04-27T01:58:25.988Z
"뚜레쥬르 본점",카페,"서울특별시 중구 동호로 330 씨제이제일제당센터",,,,pending,https://www.nowlink.kr/store/cafe-서울-16,http://www.tlj.co.kr/,2026-04-27T01:58:25.988Z
"ETF베이커리 성수",카페,"서울특별시 성동구 성수이로16길 32 주3 1, 2층",,,,pending,https://www.nowlink.kr/store/cafe-서울-17,https://www.instagram.com/etf.bakery_official/,2026-04-27T01:58:25.988Z
"쏘쏘사라다 잠실새내역점",카페,"서울특별시 송파구 백제고분로7길 56 1층",,,,pending,https://www.nowlink.kr/store/cafe-서울-18,https://map.naver.com/v5/search/%EC%8F%98%EC%8F%98%EC%82%AC%EB%9D%BC%EB%8B%A4%20%EC%9E%A0%EC%8B%A4%EC%83%88%EB%82%B4%EC%97%AD%EC%A0%90,2026-04-27T01:58:25.988Z
"핫코베이커리",카페,"서울특별시 강남구 봉은사로44길 25 1층 핫코 베이커리",,,,pending,https://www.nowlink.kr/store/cafe-서울-19,https://www.instagram.com/hakko_bakery,2026-04-27T01:58:25.988Z
